rank,score,feature_jaccard,best_view,id1,cat1,id2,cat2,planted,held_out
91,0.4333,0.3333,skel-skel,1506.01137,q-bio.PE,2203.16300,eess.SY,,False
92,0.4333,0.3333,skel-skel,1607.07287,cond-mat.stat-mech,2401.00688,cs.SI,,False
93,0.4333,0.3333,skel-skel,1607.07287,cond-mat.stat-mech,2401.00940,econ.TH,,False
94,0.4333,0.3333,skel-skel,1709.01726,physics.soc-ph,2401.01850,nlin.AO,,False
95,0.4333,0.3333,skel-skel,1712.01032,physics.class-ph,2401.00670,eess.SY,,False
96,0.4333,0.3333,skel-skel,2004.01025,cs.LG,2203.16300,eess.SY,,False
97,0.4333,0.3333,skel-core,2004.01025,cs.LG,2208.02457,q-bio.PE,,False
98,0.4333,0.3333,skel-skel,2004.01025,cs.LG,2401.01632,q-bio.PE,,False
99,0.4333,0.3333,skel-core,2007.02182,quant-ph,2408.11953,physics.optics,paraxial_schrodinger,True
100,0.4333,0.3333,skel-skel,2202.04557,cs.NE,2203.16300,eess.SY,,False
101,0.4333,0.3333,skel-core,2202.04557,cs.NE,2208.02457,q-bio.PE,,False
102,0.4333,0.3333,skel-skel,2202.04557,cs.NE,2401.01632,q-bio.PE,,False
103,0.4333,0.3333,skel-core,2203.16300,eess.SY,2208.02457,q-bio.PE,,False
104,0.4333,0.3333,skel-skel,2203.16300,eess.SY,2401.01632,q-bio.PE,,False
105,0.4333,0.3333,skel-core,2401.00661,eess.SY,2402.13378,econ.TH,,False
106,0.4333,0.3333,skel-skel,2401.00822,cond-mat.stat-mech,2401.01850,nlin.AO,,False
107,0.4333,0.3333,core-skel,2401.00822,cond-mat.stat-mech,2401.03776,q-fin.PR,,False
108,0.4333,0.3333,skel-skel,2401.01850,nlin.AO,2505.15526,q-fin.GN,,False
109,0.4237,0.3750,core-core,2401.01397,physics.soc-ph,2401.09955,q-fin.PR,,False
110,0.4087,0.3750,skel-core,1504.03074,q-fin.PR,2311.15996,cs.LG,,False
111,0.4087,0.3750,skel-core,1702.00718,q-bio.NC,2311.15996,cs.LG,,False
112,0.4087,0.3750,skel-core,2007.02182,quant-ph,2311.15996,cs.LG,,False
113,0.4050,0.3000,skel-core,1807.11410,nlin.AO,2208.02457,q-bio.PE,,False
114,0.4050,0.3000,core-skel,2208.02457,q-bio.PE,2401.00822,cond-mat.stat-mech,,False
115,0.4033,0.3333,core-skel,2401.00621,math.AP,2401.00661,eess.SY,,False
116,0.4033,0.3333,core-skel,2401.00621,math.AP,2401.00940,econ.TH,,False
117,0.4033,0.3333,core-core,2401.00621,math.AP,2402.13378,econ.TH,,False
118,0.3943,0.4286,core-core,2004.01025,cs.LG,2401.00621,math.AP,,False
119,0.3943,0.4286,core-skel,2401.00657,math.OC,2401.00822,cond-mat.stat-mech,,False
120,0.3937,0.3750,skel-core,1008.3331,cond-mat.stat-mech,2401.00661,eess.SY,,False
121,0.3937,0.3750,skel-core,1709.01726,physics.soc-ph,2401.00661,eess.SY,,False
122,0.3937,0.3750,core-core,2401.00657,math.OC,2401.00661,eess.SY,,False
123,0.3937,0.3750,core-skel,2401.00661,eess.SY,2505.15526,q-fin.GN,,False
124,0.3929,0.2857,skel-skel,1008.3331,cond-mat.stat-mech,1506.01137,q-bio.PE,,False
125,0.3929,0.2857,skel-skel,1008.3331,cond-mat.stat-mech,1712.01032,physics.class-ph,,False
126,0.3929,0.2857,skel-skel,1008.3331,cond-mat.stat-mech,2004.01025,cs.LG,,False
127,0.3929,0.2857,skel-skel,1008.3331,cond-mat.stat-mech,2202.04557,cs.NE,,False
128,0.3929,0.2857,skel-skel,1008.3331,cond-mat.stat-mech,2401.01632,q-bio.PE,,False
129,0.3929,0.2857,skel-skel,1406.2405,q-bio.PE,2004.01025,cs.LG,replicator_mirror_descent,False
130,0.3929,0.2857,skel-skel,1406.2405,q-bio.PE,2202.04557,cs.NE,,False
131,0.3929,0.2857,skel-skel,1406.2405,q-bio.PE,2203.16300,eess.SY,,False
132,0.3929,0.2857,skel-skel,1504.03074,q-fin.PR,1702.01718,math.AP,,False
133,0.3929,0.2857,skel-skel,1506.01137,q-bio.PE,1709.01726,physics.soc-ph,,False
134,0.3929,0.2857,skel-skel,1506.01137,q-bio.PE,1807.11410,nlin.AO,,False
135,0.3929,0.2857,skel-skel,1506.01137,q-bio.PE,2401.00822,cond-mat.stat-mech,,False
136,0.3929,0.2857,skel-skel,1506.01137,q-bio.PE,2505.15526,q-fin.GN,,False
137,0.3929,0.2857,core-core,1511.02314,nlin.PS,2408.11953,physics.optics,,False
138,0.3929,0.2857,skel-core,1602.05417,physics.class-ph,2203.16300,eess.SY,,False
139,0.3929,0.2857,skel-skel,1702.00718,q-bio.NC,1702.01718,math.AP,,False
140,0.3929,0.2857,core-skel,1702.01718,math.AP,1709.01726,physics.soc-ph,,False
141,0.3929,0.2857,core-skel,1702.01718,math.AP,1807.11410,nlin.AO,,False
142,0.3929,0.2857,core-skel,1702.01718,math.AP,2004.09314,q-bio.PE,,False
143,0.3929,0.2857,skel-skel,1702.01718,math.AP,2007.02182,quant-ph,,False
144,0.3929,0.2857,core-skel,1702.01718,math.AP,2208.02457,q-bio.PE,,False
145,0.3929,0.2857,core-skel,1702.01718,math.AP,2401.00822,cond-mat.stat-mech,,False
146,0.3929,0.2857,skel-skel,1709.01726,physics.soc-ph,2004.01025,cs.LG,,False
147,0.3929,0.2857,skel-skel,1709.01726,physics.soc-ph,2202.04557,cs.NE,,False
148,0.3929,0.2857,skel-skel,1709.01726,physics.soc-ph,2203.16300,eess.SY,,False
149,0.3929,0.2857,skel-skel,1709.01726,physics.soc-ph,2401.00670,eess.SY,,False
150,0.3929,0.2857,skel-core,1712.01032,physics.class-ph,2203.16300,eess.SY,oscillator_rlc,False
151,0.3929,0.2857,skel-skel,1807.11410,nlin.AO,2004.01025,cs.LG,,False
152,0.3929,0.2857,skel-skel,1807.11410,nlin.AO,2202.04557,cs.NE,,False
153,0.3929,0.2857,skel-skel,1807.11410,nlin.AO,2401.01632,q-bio.PE,,False
154,0.3929,0.2857,skel-skel,2004.01025,cs.LG,2505.15526,q-fin.GN,,False
155,0.3929,0.2857,skel-skel,2004.09314,q-bio.PE,2401.00670,eess.SY,,False
156,0.3929,0.2857,core-skel,2004.09314,q-bio.PE,2401.01850,nlin.AO,,False
157,0.3929,0.2857,skel-skel,2202.04557,cs.NE,2505.15526,q-fin.GN,,False
158,0.3929,0.2857,skel-skel,2203.16300,eess.SY,2401.00822,cond-mat.stat-mech,,False
159,0.3929,0.2857,skel-skel,2208.02457,q-bio.PE,2401.00670,eess.SY,,False
160,0.3929,0.2857,core-skel,2401.00657,math.OC,2401.00940,econ.TH,,False
161,0.3929,0.2857,skel-skel,2401.00670,eess.SY,2505.15526,q-fin.GN,,False
162,0.3929,0.2857,core-skel,2401.00671,math.PR,2401.03776,q-fin.PR,,False
163,0.3929,0.2857,skel-skel,2401.00822,cond-mat.stat-mech,2401.01632,q-bio.PE,,False
164,0.3929,0.2857,skel-skel,2401.01632,q-bio.PE,2505.15526,q-fin.GN,,False
165,0.3883,0.3333,skel-core,1008.3331,cond-mat.stat-mech,1612.08949,physics.soc-ph,,False
166,0.3883,0.3333,skel-skel,1008.3331,cond-mat.stat-mech,2401.00657,math.OC,,False
167,0.3883,0.3333,skel-skel,1406.2405,q-bio.PE,2401.00657,math.OC,,False
168,0.3883,0.3333,core-skel,1612.08949,physics.soc-ph,1807.11410,nlin.AO,,False
169,0.3883,0.3333,core-skel,1612.08949,physics.soc-ph,2505.15526,q-fin.GN,,False
170,0.3883,0.3333,skel-skel,1709.01726,physics.soc-ph,2401.00657,math.OC,,False
171,0.3883,0.3333,skel-skel,1807.11410,nlin.AO,2401.00657,math.OC,,False
172,0.3883,0.3333,skel-skel,2401.00657,math.OC,2505.15526,q-fin.GN,,False
173,0.3733,0.3333,skel-skel,2007.02182,quant-ph,2401.03776,q-fin.PR,,False
174,0.3700,0.4000,skel-skel,1008.3331,cond-mat.stat-mech,2401.00839,econ.TH,,False
175,0.3700,0.4000,skel-skel,1402.1384,cs.IT,1612.08949,physics.soc-ph,,False
176,0.3700,0.4000,skel-core,1402.1384,cs.IT,2402.13378,econ.TH,,False
177,0.3700,0.4000,core-skel,1402.3007,math-ph,2401.01850,nlin.AO,,False
178,0.3700,0.4000,skel-skel,1504.03074,q-fin.PR,2401.01850,nlin.AO,,False
179,0.3700,0.4000,skel-skel,1511.02314,nlin.PS,1712.01032,physics.class-ph,,False
180,0.3700,0.4000,skel-core,1607.07287,cond-mat.stat-mech,2401.00625,cs.LG,,False
